acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,cp_objective,diameter,h_count,ha_objective,hp_objective,hp_runtime,hp_type,latency_factor,max_length,network,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.02,16,100,0,0.08326394671107401,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.02,16,100,0,0.034542314335060005,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.03,16,100,0,0.014889815366289002,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.04,16,100,0,0.006741270055278001,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.03,16,100,0,0.003235198964736,123,0,10
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.05,16,100,0,0.0016611847569680002,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.04,16,100,0,0.0009226113591910001,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.05,16,100,0,0.000560622964237,123,0,13
31,0.720930232558139,,0,546,222,910,803,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.0,16,43,0,1.0,123,0,2
28,0.31460674157303303,,0,527,98,910,803,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.01,16,89,0,1.0,123,0,3
8,0.08,,0,585,133,910,803,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.01,16,100,0,0.49504950495049505,123,0,4
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.01,16,100,0,0.20491803278688503,123,0,5
2,0.02,,0,648,94,910,609,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.02,16,100,0,0.08326394671107401,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.02,16,100,0,0.034542314335060005,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.02,16,100,0,0.014889815366289002,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.02,16,100,0,0.006741270055278001,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.03,16,100,0,0.003235198964736,123,0,10
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.03,16,100,0,0.0016611847569680002,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.03,16,100,0,0.0009226113591910001,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.37,ilp,0.2,951,26_usa,0.03,16,100,0,0.000560622964237,123,0,13
33,0.7674418604651161,,0,517,149,948,803,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.0,16,43,0,1.0,123,0,2
33,0.37078651685393205,,0,543,120,910,803,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.01,16,89,0,1.0,123,0,3
16,0.16,,0,603,155,910,803,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.01,16,100,0,0.49504950495049505,123,0,4
1,0.01,,0,520,291,895,803,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.01,16,100,0,0.20491803278688503,123,0,5
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.02,16,100,0,0.08326394671107401,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.02,16,100,0,0.034542314335060005,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.02,16,100,0,0.014889815366289002,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.02,16,100,0,0.006741270055278001,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.03,16,100,0,0.003235198964736,123,0,10
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.03,16,100,0,0.0016611847569680002,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.03,16,100,0,0.0009226113591910001,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,4759,19,avg cp length,hypervisor count,0.38,ilp,0.2,951,26_usa,0.03,16,100,0,0.000560622964237,123,0,13
30,0.6976744186046511,,0,556,157,910,803,random,4759,19,avg cp length,hypervisor count,0.33,ilp,0.2,951,26_usa,0.0,16,43,0,1.0,123,0,2
